snp	pos	z	pip	cs_id
locusA_snp1	5000000	0.00589294572891607	0	0
locusA_snp2	5002000	0.253247791418708	0	0
locusA_snp3	5004000	-1.54540705997226	0	0
locusA_snp4	5006000	1.81959390706892	0	0
locusA_snp5	5008000	-0.821225637358387	0	0
locusA_snp6	5010000	-1.02666943850821	0	0
locusA_snp7	5012000	-1.15338392316218	0	0
locusA_snp8	5014000	-0.647547851158544	0	0
locusA_snp9	5016000	-0.56770295738971	0	0
locusA_snp10	5018000	-0.708820730622532	0	0
locusA_snp11	5020000	5.22195505000891	4.9960036108132e-15	0
locusA_snp12	5022000	4.5612929155529	2.22044604925031e-16	0
locusA_snp13	5024000	8.14563166358029	1.20025702543547e-06	0
locusA_snp14	5026000	5.24330773737602	5.55111512312578e-15	0
locusA_snp15	5028000	4.02319953718855	0	0
locusA_snp16	5030000	2.24786698143772	0	0
locusA_snp17	5032000	1.84500456845788	0	0
locusA_snp18	5034000	9.69504428503557	0.997472785941775	1
locusA_snp19	5036000	1.57102231767339	0	0
locusA_snp20	5038000	3.31195040955812	0	0
locusA_snp21	5040000	5.60497167546992	3.8746783559418e-14	0
locusA_snp22	5042000	6.38746934589161	3.99591471023086e-12	0
locusA_snp23	5044000	9.04795830321732	0.00252601379715434	0
locusA_snp24	5046000	1.75814008908011	0	0
locusA_snp25	5048000	2.24927033823977	0	0
locusA_snp26	5050000	-2.3121311681758	0	0
locusA_snp27	5052000	-2.29791637534564	0	0
locusA_snp28	5054000	0.148807526732194	0	0
locusA_snp29	5056000	-0.112065640228576	0	0
locusA_snp30	5058000	0.752772784276046	0	0
