snp	pos	z	pip	cs_id
snp1	1000000	0.51236383850271	1.20393789049267e-07	0
snp2	1002000	0.667759150460445	1.31554953708424e-07	0
snp3	1004000	2.50066598034088	2.17797754242799e-06	0
snp4	1006000	-1.18459027701108	2.08977079307893e-07	0
snp5	1008000	-0.5758184514716	1.24480621921386e-07	0
snp6	1010000	-1.8038746624223	5.11201084574253e-07	0
snp7	1012000	-1.1437275088344	1.9958367281081e-07	0
snp8	1014000	-0.31958242977245	1.11411436964914e-07	0
snp9	1016000	0.200030163851851	1.08115182029245e-07	0
snp10	1018000	-0.592249862651959	1.2564102347401e-07	0
snp11	1020000	-0.766416246583572	1.4086850308459e-07	0
snp12	1022000	-0.384741645800466	1.13910984422816e-07	0
snp13	1024000	0.542612589031024	1.22265584545644e-07	0
snp14	1026000	-0.113851109886362	1.06710500547003e-07	0
snp15	1028000	-0.655340143241639	1.30514062002263e-07	0
snp16	1030000	-0.116530535060356	1.06742351513311e-07	0
snp17	1032000	-0.303005218770636	1.1085691797863e-07	0
snp18	1034000	0.441878162992576	1.16541902128731e-07	0
snp19	1036000	-0.81599769728058	1.46314158122607e-07	0
snp20	1038000	0.677943399547272	1.32429468169271e-07	0
snp21	1040000	5.56741316429461	0.333807937445695	1
snp22	1042000	5.48476819001783	0.214930401554491	1
snp23	1044000	3.40914701594792	2.9129748202128e-05	0
snp24	1046000	5.1136650712559	0.0322701280378965	0
snp25	1048000	5.50309901632112	0.236843167587506	1
snp26	1050000	3.75706394907948	9.70861242102217e-05	0
snp27	1052000	3.25367608886997	1.76636678229647e-05	0
snp28	1054000	4.29281148008209	0.000778395055935244	0
snp29	1056000	5.45240347549607	0.181216061475202	1
snp30	1058000	0.131643082766942	1.06936076216257e-07	0
snp31	1060000	0.741019125815881	1.38285282558215e-07	0
snp32	1062000	-0.691469194461937	1.3362062545319e-07	0
snp33	1064000	1.76227786328526	4.75833925928093e-07	0
snp34	1066000	-0.0422124060152493	1.06135266464413e-07	0
snp35	1068000	-1.16540070851087	2.04470915421417e-07	0
snp36	1070000	-1.90318384367158	6.10748791651794e-07	0
snp37	1072000	-0.522437929122866	1.21002081132637e-07	0
snp38	1074000	-1.85040336295355	5.54983262457398e-07	0
snp39	1076000	-2.13878354743281	9.67669704476926e-07	0
snp40	1078000	0.650347233440922	1.30103376405621e-07	0
snp41	1080000	1.30946593540304	2.42930083382831e-07	0
snp42	1082000	0.227313572753313	1.08726330938502e-07	0
snp43	1084000	-0.657913803190624	1.30727491831628e-07	0
snp44	1086000	-0.399115448085747	1.14533159623065e-07	0
snp45	1088000	1.25750257495262	2.27760855953107e-07	0
snp46	1090000	-0.228770397529009	1.08761262440638e-07	0
snp47	1092000	0.394981436984628	1.14351530022816e-07	0
snp48	1094000	-0.300245940554275	1.10767743755069e-07	0
snp49	1096000	0.965180366270657	1.66369567899949e-07	0
snp50	1098000	-0.199057122676403	1.08094886264176e-07	0
