snp	pos	z	pip	cs_id
snp1	1000000	0.763226942869195	0	0
snp2	1002000	1.6369303241128	0	0
snp3	1004000	0.745431940470461	0	0
snp4	1006000	0.0767243224040484	0	0
snp5	1008000	-0.340998116862014	0	0
snp6	1010000	0.665569855614809	0	0
snp7	1012000	1.45703392053144	0	0
snp8	1014000	-1.42136847916661	0	0
snp9	1016000	0.172699787156746	0	0
snp10	1018000	0.281602840628639	0	0
snp11	1020000	1.17285127500354	0	0
snp12	1022000	0.403932989337143	0	0
snp13	1024000	-0.639556946723426	0	0
snp14	1026000	-1.01887802552713	0	0
snp15	1028000	-0.629309502373507	0	0
snp16	1030000	1.23663677500719	0	0
snp17	1032000	-0.163710252305172	0	0
snp18	1034000	7.49267044699799	0	0
snp19	1036000	12.0136613805222	0.093573675568066	1
snp20	1038000	5.68243537650785	0	0
snp21	1040000	5.85950366062443	0	0
snp22	1042000	9.15086169075584	9.2148511043888e-15	0
snp23	1044000	6.84302051641703	0	0
snp24	1046000	10.739406011047	5.62878407217582e-08	0
snp25	1048000	12.1826119626095	0.704181170487947	1
snp26	1050000	12.0715577808437	0.186278540255967	1
snp27	1052000	6.02693799640227	0	0
snp28	1054000	11.863686963142	0.0159665561089615	0
snp29	1056000	5.63323133771113	0	0
snp30	1058000	10.3775564326213	1.28747801309004e-09	0
snp31	1060000	9.76642130988039	2.92010859936909e-12	0
snp32	1062000	9.63287685894566	8.10462807976364e-13	0
snp33	1064000	-1.27587897230698	0	0
snp34	1066000	-0.810090171614024	0	0
snp35	1068000	-0.972629137484734	0	0
snp36	1070000	0.830285326130354	0	0
snp37	1072000	-1.03128756713292	0	0
snp38	1074000	0.59970450643375	0	0
snp39	1076000	-0.228403385642059	0	0
snp40	1078000	-1.53100343976742	0	0
snp41	1080000	-0.862305677058736	0	0
snp42	1082000	1.27297365828934	0	0
snp43	1084000	-0.940147030606726	0	0
snp44	1086000	1.69267779730812	0	0
snp45	1088000	-0.407682729993372	0	0
snp46	1090000	-0.0849352092081833	0	0
snp47	1092000	-0.89345870253803	0	0
snp48	1094000	-0.118391321126371	0	0
snp49	1096000	-1.66489776710798	0	0
snp50	1098000	-0.600554244917084	0	0
